ind_id	master_id	publication	date	country	sex	coverage	num_snps	prop_miss	continent	colbran_id	type	location	population	lifestyle	latitude	longitude
I7207	I7207	NarasimhanPattersonScience2019	4400	Czech Republic	M	1.863154	789641	0.35958420551932546	Europe	I7207	1240k	Czech Republic	Corded_Ware	Agri.	50.5447396	13.8351164
I7208	I7208	NarasimhanPattersonScience2019	4330	Czech Republic	M	1.96227	811518	0.3418414891002771	Europe	I7208	1240k	Czech Republic	Corded_Ware	Agri.	50.5390744	13.8288292
I7209	I7209	NarasimhanPattersonScience2019	4283	Czech Republic	M	4.120915	869434	0.2948703703853893	Europe	I7209	1240k	Czech Republic	Corded_Ware	Agri.	50.54412	13.834065
I7278	I7278	OlaldeNature2018	4332	Czech Republic	M	3.567538	795922	0.3544901797466855	Europe	I7278	1240k	Czech Republic	Bell_Beaker	Agri.	50.19	14.158
I7043	I7043	OlaldeNature2018	4007	Hungary	M	4.096184	801297	0.3501309394142641	Europe	I7043	1240k	Hungary	Bronze_Age	NA	47.429954	19.051966
I7282	I7282	OlaldeNature2018	4200	Czech Republic	M	3.173133	785327	0.3630829520856633	Europe	I7282	1240k	Czech Republic	Bell_Beaker	Agri.	50.410265	14.074597
I6714	I6714	NarasimhanPattersonScience2019	4495	Russia	M	3.611174	868211	0.2958622496275384	Asia	I6714	1240k	Russia	Afanasievo	Past.	54.35661	90.919186
I6718	I6718	NarasimhanPattersonScience2019	3509	Russia	M	3.933119	848573	0.31178908900392777	Asia	I6718	1240k	Russia	NA	NA	55.1924	89.3053
I6707	I6707	NarasimhanPattersonScience2019	3468	Kazakhstan	F	3.828264	831975	0.3252504231504453	Asia	I6707	1240k	Kazakhstan	NA	NA	49.709894	73.882838
I6789	I6789	NarasimhanPattersonScience2019	3735	Kazakhstan	M	3.777477	843409	0.31597720380888117	Asia	I6789	1240k	Kazakhstan	NA	NA	50.09	74.44
I6790	I6790	NarasimhanPattersonScience2019	3728	Kazakhstan	F	4.09889	824759	0.3311027539855622	Asia	I6790	1240k	Kazakhstan	NA	NA	50.09	74.44
